23/09/2018 - 02:14:57, p4, 3432, inexistente
23/09/2018 - 02:15:08, p4, 5462, inexistente
23/09/2018 - 02:15:13, p4, 9999, autorizado
23/09/2018 - 02:16:33, p4, 1234, negado
23/09/2018 - 02:17:09, p4, 1258, inexistente
23/09/2018 - 02:17:17, p4, 1458, autorizado
23/09/2018 - 02:17:38, p4, 1768, autorizado
23/09/2018 - 02:17:55, p4, 4353, negado
23/09/2018 - 02:22:25, p2, 1234, autorizado
23/09/2018 - 02:22:49, p2, 3214, inexistente
23/09/2018 - 02:29:57, p3, 3421, inexistente
23/09/2018 - 02:30:01, p3, 1234, negado
23/09/2018 - 02:30:04, p3, 9999, autorizado
23/09/2018 - 02:30:32, p3, 4287, autorizado
23/09/2018 - 02:30:36, p3, 4287, autorizado
23/09/2018 - 02:31:21, p3, 9999, autorizado
23/09/2018 - 02:31:30, p3, 9999, autorizado
23/09/2018 - 02:32:30, p1, 9999, autorizado
23/09/2018 - 02:32:45, p1, 1234, autorizado
23/09/2018 - 02:32:48, p1, 1234, autorizado
23/09/2018 - 02:35:37, p5, 9999, autorizado
23/09/2018 - 02:36:21, p5, 9999, autorizado
23/09/2018 - 02:37:35, p5, 1234, negado
23/09/2018 - 02:37:46, p5, 1234, negado
23/09/2018 - 02:52:12, p5, 9999, autorizado
23/09/2018 - 02:52:28, p5, 4321, inexistente
23/09/2018 - 02:52:34, p5, 3213, inexistente
23/09/2018 - 02:52:36, p5, 1234, negado
23/09/2018 - 02:53:54, p5, 9999, autorizado
23/09/2018 - 02:53:57, p5, 1343, inexistente
23/09/2018 - 16:43:05, p2, 1254, inexistente
23/09/2018 - 16:43:12, p2, 2131, inexistente
23/09/2018 - 16:43:16, p2, 1234, autorizado
23/09/2018 - 16:43:20, p2, 9999, autorizado
23/09/2018 - 16:43:35, p2, 5647, inexistente
23/09/2018 - 16:43:54, p2, 4562, autorizado
23/09/2018 - 16:44:15, p5, 9999, autorizado
23/09/2018 - 16:44:31, p5, 4298, negado
